iter	Passed	Remaining
423	10735	14584
424	10758	14554
425	10778	14523
426	10816	14514
427	10838	14484
428	10860	14454
429	10880	14423
430	10902	14392
431	10936	14379
432	10957	14348
433	10986	14327
434	11039	14338
435	11063	14311
436	11084	14280
437	11106	14250
438	11128	14221
439	11162	14206
440	11183	14176
441	11205	14145
442	11226	14114
443	11262	14102
444	11283	14072
445	11305	14043
446	11327	14013
447	11349	13984
448	11380	13966
449	11402	13936
450	11427	13910
451	11458	13891
452	11490	13875
453	11512	13845
454	11533	13814
455	11558	13789
456	11579	13758
457	11611	13741
458	11633	13711
459	11657	13684
460	11681	13657
461	11715	13643
462	11745	13622
463	11766	13592
464	11797	13573
465	11820	13544
466	11841	13514
467	11862	13484
468	11883	13454
469	11905	13425
470	11936	13406
471	11967	13387
472	11988	13357
473	12023	13342
474	12044	13312
475	12065	13282
476	12088	13253
477	12113	13228
478	12134	13198
479	12168	13182
480	12189	13152
481	12210	13122
482	12237	13098
483	12262	13073
484	12284	13043
485	12304	13013
486	12332	12990
487	12354	12961
488	12379	12936
489	12410	12916
490	12432	12887
491	12467	12872
492	12488	12843
493	12509	12813
494	12532	12785
495	12554	12756
496	12576	12728
497	12608	12709
498	12630	12680
499	12651	12651
500	12676	12625
501	12704	12603
502	12727	12575
503	12748	12546
504	12769	12516
505	12790	12487
506	12813	12459
507	12843	12438
508	12864	12409
509	12899	12393
510	12921	12365
511	12942	12336
512	12964	12307
513	12986	12279
514	13008	12250
515	13042	12233
516	13065	12206
517	13086	12176
518	13113	12153
519	13143	12132
520	13165	12103
521	13186	12074
522	13209	12047
523	13235	12023
524	13274	12010
525	13296	11982
526	13327	11961
527	13351	11935
528	13373	11906
529	13394	11878
530	13417	11850
531	13439	11822
532	13460	11793
533	13494	11775
534	13515	11747
535	13549	11729
536	13571	11701
537	13592	11672
538	13615	11645
539	13636	11616
540	13657	11587
541	13682	11561
542	13715	11543
543	13741	11518
544	13774	11499
545	13796	11472
546	13818	11444
547	13839	11415
548	13860	11386
549	13882	11358
550	13903	11329
551	13938	11312
552	13960	11284
553	13994	11265
554	14016	11238
555	14038	11210
556	14062	11184
557	14083	11155
558	14106	11128
559	14129	11101
560	14154	11076
561	14185	11055
562	14219	11037
563	14240	11008
564	14262	10980
565	14286	10954
566	14308	10926
567	14330	10899
568	14352	10871
569	14386	10852
570	14408	10824
571	14441	10805
572	14463	10778
573	14484	10750
574	14505	10721
575	14526	10693
576	14548	10665
577	14570	10638
578	14595	10612
579	14627	10592
580	14657	10570
581	14680	10543
582	14702	10516
583	14724	10488
584	14744	10459
585	14765	10431
586	14787	10404
587	14829	10390
588	14850	10362
589	14885	10344
590	14907	10316
591	14927	10288
592	14949	10260
593	14971	10232
594	14994	10206
595	15015	10178
596	15041	10153
597	15072	10132
598	15100	10108
599	15125	10083
600	15146	10055
601	15167	10027
602	15190	10000
603	15211	9973
604	15231	9944
605	15265	9924
606	15289	9899
607	15323	9879
608	15346	9852
609	15369	9826
610	15390	9798
611	15412	9771
612	15433	9743
613	15455	9716
614	15495	9700
615	15517	9672
616	15547	9651
617	15570	9624
618	15592	9597
619	15616	9571
620	15637	9543
621	15658	9515
622	15681	9489
623	15711	9467
624	15733	9440
625	15773	9423
626	15797	9397
627	15820	9371
628	15840	9343
629	15861	9315
630	15883	9288
631	15905	9261
632	15934	9238
633	15962	9214
634	15996	9194
635	16017	9166
636	16038	9139
637	16060	9112
638	16081	9085
639	16104	9058
640	16127	9032
641	16163	9013
642	16185	8986
643	16220	8966
644	16241	8939
645	16269	8915
646	16292	8888
647	16312	8861
648	16333	8833
649	16354	8806
650	16383	8782
651	16407	8757
652	16442	8737
653	16462	8709
654	16483	8682
655	16506	8655
656	16528	8628
657	16549	8601
658	16570	8574
659	16607	8555
660	16631	8529
661	16665	8509
662	16688	8482
663	16709	8455
664	16731	8428
665	16752	8401
666	16773	8374
667	16795	8347
668	16821	8322
669	16851	8300
670	16886	8279
671	16907	8252
672	16929	8225
673	16951	8199
674	16974	8172
675	16995	8145
676	17016	8118
677	17060	8102
678	17082	8075
679	17117	8055
680	17139	8028
681	17160	8001
682	17189	7978
683	17211	7951
684	17237	7926
685	17258	7899
686	17296	7880
687	17321	7854
688	17350	7831
689	17372	7805
690	17394	7778
691	17416	7752
692	17437	7725
693	17458	7697
694	17495	7677
695	17526	7655
696	17556	7632
697	17577	7604
698	17597	7577
699	17619	7551
700	17641	7524
701	17667	7499
702	17696	7476
703	17723	7451
704	17760	7431
705	17781	7404
706	17802	7377
707	17823	7351
708	17845	7324
709	17866	7297
710	17901	7276
711	17923	7250
712	17947	7224
713	17982	7203
714	18004	7176
715	18032	7152
716	18055	7126
717	18076	7099
718	18098	7073
719	18136	7053
720	18157	7026
721	18179	6999
722	18214	6978
723	18237	6952
724	18260	6926
725	18286	6901
726	18307	6874
727	18328	6848
728	18366	6827
729	18387	6800
730	18408	6774
731	18445	6753
732	18467	6726
733	18489	6700
734	18518	6676
735	18538	6649
736	18560	6623
737	18595	6601
738	18617	6575
739	18642	6550
740	18679	6529
741	18701	6502
742	18728	6478
743	18750	6451
744	18771	6425
745	18794	6399
746	18830	6377
747	18851	6351
748	18872	6324
749	18905	6301
750	18929	6276
751	18951	6249
752	18972	6223
753	18994	6197
754	19030	6175
755	19052	6149
756	19074	6122
757	19096	6096
758	19133	6075
759	19154	6048
760	19176	6022
761	19204	5998
762	19230	5973
763	19251	5946
764	19272	5920
765	19293	5893
766	19316	5867
767	19362	5849
768	19384	5822
769	19407	5797
770	19440	5774
771	19462	5747
772	19483	5721
773	19504	5695
774	19526	5668
775	19547	5642
776	19575	5618
777	19606	5594
778	19638	5571
779	19660	5545
780	19681	5518
781	19702	5492
782	19730	5468
783	19757	5443
784	19782	5418
785	19818	5395
786	19848	5371
787	19869	5345
788	19890	5319
789	19911	5292
790	19934	5267
791	19957	5241
792	19978	5215
793	20014	5192
794	20050	5170
795	20078	5145
796	20099	5119
797	20121	5093
798	20141	5067
799	20166	5041
800	20188	5015
801	20209	4989
802	20247	4967
803	20283	4944
804	20304	4918
805	20324	4892
806	20346	4866
807	20368	4840
808	20389	4813
809	20411	4787
810	20432	4761
811	20463	4737
812	20508	4717
813	20532	4691
814	20553	4665
815	20573	4639
816	20594	4612
817	20615	4586
818	20636	4560
819	20658	4534
820	20695	4512
821	20722	4487
822	20755	4463
823	20777	4437
824	20799	4411
825	20820	4385
826	20842	4359
827	20862	4333
828	20884	4307
829	20913	4283
830	20959	4262
831	20980	4236
832	21002	4210
833	21023	4184
834	21045	4158
835	21065	4132
836	21085	4106
837	21106	4080
838	21145	4057
839	21177	4033
840	21201	4008
841	21228	3983
842	21250	3957
843	21275	3932
844	21297	3906
845	21319	3880
846	21344	3855
847	21381	3832
848	21409	3807
849	21430	3781
850	21456	3756
851	21483	3731
852	21504	3706
853	21531	3681
854	21555	3655
855	21576	3629
856	21617	3607
857	21643	3581
858	21667	3556
859	21690	3530
860	21717	3506
861	21738	3480
862	21764	3455
863	21794	3430
864	21814	3404
865	21852	3381
866	21875	3355
867	21904	3331
868	21925	3305
869	21952	3280
870	21974	3254
871	21995	3228
872	22015	3202
873	22036	3176
874	22080	3154
875	22100	3128
876	22126	3103
877	22153	3078
878	22174	3052
879	22195	3026
880	22216	3000
881	22244	2976
882	22270	2950
883	22298	2926
884	22330	2901
885	22352	2876
886	22374	2850
887	22395	2824
888	22415	2798
889	22444	2773
890	22467	2748
891	22494	2723
892	22539	2700
893	22561	2675
894	22582	2649
895	22603	2623
896	22630	2598
897	22658	2573
898	22686	2548
899	22707	2523
900	22729	2497
901	22775	2474
902	22797	2448
903	22818	2423
904	22839	2397
905	22861	2371
906	22882	2346
907	22905	2320
908	22926	2295
909	22947	2269
910	22972	2244
911	23007	2220
912	23034	2194
913	23062	2169
914	23090	2145
915	23111	2119
916	23138	2094
917	23159	2068
918	23181	2043
919	23202	2017
920	23244	1993
921	23266	1968
922	23293	1943
923	23320	1918
924	23346	1892
925	23367	1867
926	23389	1841
927	23416	1816
928	23440	1791
929	23483	1767
930	23507	1742
931	23528	1716
932	23556	1691
933	23579	1666
934	23603	1640
935	23624	1615
936	23652	1590
937	23673	1564
938	23715	1540
939	23737	1515
940	23758	1489
941	23784	1464
942	23807	1439
943	23828	1413
944	23849	1388
945	23878	1363
946	23905	1337
947	23950	1313
948	23971	1288
949	23999	1263
950	24021	1237
951	24042	1212
952	24064	1186
953	24084	1161
954	24106	1135
955	24135	1110
956	24170	1086
957	24204	1061
958	24225	1035
959	24252	1010
960	24275	985
961	24302	959
962	24323	934
963	24345	909
964	24371	883
965	24411	859
966	24434	833
967	24456	808
968	24478	783
969	24502	757
970	24524	732
971	24549	707
972	24570	681
973	24597	656
974	24630	631
975	24654	606
976	24675	580
977	24697	555
978	24725	530
979	24752	505
980	24776	479
981	24804	454
982	24828	429
983	24866	404
984	24890	379
985	24911	353
986	24932	328
987	24953	303
988	24982	277
989	25004	252
990	25031	227
991	25053	202
992	25098	176
993	25120	151
994	25144	126
995	25167	101
996	25195	75
997	25217	50
998	25240	25
999	25262	0
