iter	Logloss
220	0.1049561352
221	0.1049560158
222	0.10495598
223	0.1049555347
224	0.1049555228
225	0.1049555119
226	0.1049335841
227	0.104933552
228	0.1049282468
229	0.104928221
230	0.1049281982
231	0.1048269169
232	0.1048268648
233	0.1048155972
234	0.1046776121
235	0.104677475
236	0.1046774443
237	0.1046772573
238	0.1046772063
239	0.1046771015
240	0.1046769912
241	0.1046767783
242	0.1046542005
243	0.1046541662
244	0.1046541515
245	0.1046541229
246	0.1046540975
247	0.1045051802
248	0.1045051518
249	0.1045051127
250	0.1045049686
251	0.1044835542
252	0.1044835319
253	0.1044782471
254	0.1044782281
255	0.1044782021
256	0.1044720339
257	0.1043423935
258	0.1043423633
259	0.1043423364
260	0.1043371395
261	0.104337116
262	0.1043370889
263	0.1043370717
264	0.1043370463
265	0.1043370238
266	0.1043370039
267	0.1043369863
268	0.1043324067
269	0.1043323917
270	0.1043322191
271	0.1043321903
272	0.104332174
273	0.1043321682
274	0.1043321541
275	0.1042756049
276	0.104275487
277	0.1042753398
278	0.104275319
279	0.1042752972
280	0.1042680514
281	0.1042680417
282	0.1042680257
283	0.1042680115
284	0.1041507684
285	0.1041507539
286	0.1041506523
287	0.1041506432
288	0.1041505545
289	0.1041504762
290	0.1041504637
291	0.1041504375
292	0.1041502414
293	0.1041502371
294	0.104027288
295	0.104027097
296	0.1040270816
297	0.1040270015
298	0.1040269829
299	0.1040269743
300	0.1040268295
301	0.1040268231
302	0.1040267757
303	0.1040140392
304	0.104013916
305	0.1040137136
306	0.104013709
307	0.1040136706
308	0.1040120466
309	0.1040119325
310	0.1040118836
311	0.1040118741
312	0.1040118295
313	0.1040117173
314	0.1040117154
315	0.1040116953
316	0.1040116474
317	0.1040115505
318	0.1040115486
319	0.1040115258
320	0.1040104559
321	0.1040055473
322	0.1040055463
323	0.1040053543
324	0.1038772396
325	0.103877215
326	0.1038771174
327	0.1038770997
328	0.1038770916
329	0.1038769948
330	0.1038769779
331	0.1038380719
332	0.1038380545
333	0.1038380476
334	0.1038380327
335	0.1038379624
336	0.1037619143
337	0.103761884
338	0.1037618718
339	0.1037617664
340	0.1037615809
341	0.1037611729
342	0.1037610704
343	0.1037609913
344	0.1037609822
345	0.1037609694
346	0.1037609651
347	0.1037589369
348	0.1037587576
349	0.1037587535
350	0.1037587489
351	0.1037587454
352	0.1037586711
353	0.1037585783
354	0.1036289354
355	0.1036267878
356	0.1036267768
357	0.1036267069
358	0.1036266151
359	0.1036266004
360	0.1036265463
361	0.1036265399
362	0.1036265257
363	0.103626518
364	0.1036265117
365	0.103626501
366	0.1036264971
367	0.1036245239
368	0.1036245156
369	0.1036172526
370	0.1036172197
371	0.1036172146
372	0.10361721
373	0.1036170911
374	0.1036135213
375	0.1036134627
376	0.1036134595
377	0.1036134566
378	0.1036133345
379	0.1036133313
380	0.1036133285
381	0.1036132697
382	0.1036132672
383	0.1036127224
384	0.1036126943
385	0.1036126918
386	0.1036126018
387	0.1036125982
388	0.1036109256
389	0.1036108962
390	0.1036108933
391	0.1036108907
392	0.1036108899
393	0.1036108877
394	0.1036108858
395	0.1036101858
396	0.1036101639
397	0.1036101281
398	0.1036100692
399	0.1036100646
400	0.1036100606
401	0.1036100593
402	0.1036100582
403	0.1036100543
404	0.1036100508
405	0.1036100495
406	0.1036100483
407	0.1036100478
408	0.1036100415
409	0.103495737
410	0.1034956262
411	0.1034946951
412	0.103494692
413	0.1034946894
414	0.1034946448
415	0.1034940028
416	0.1034939346
417	0.1034939319
418	0.1034939295
419	0.1033410021
420	0.1033409857
421	0.1033409722
422	0.1033390451
423	0.1033303966
424	0.1033206172
425	0.1033206052
426	0.1031891899
427	0.1031890686
428	0.1031855575
429	0.1031855422
430	0.1031855071
431	0.1031854873
432	0.1031854767
433	0.1031854673
434	0.1031854588
435	0.1031854444
436	0.1031854374
437	0.1031854313
438	0.1031854193
439	0.1031854142
440	0.103184927
441	0.1031849167
442	0.1031847883
443	0.1031847819
444	0.1031847726
445	0.1031847213
446	0.1031846078
447	0.1031846062
448	0.1031845937
449	0.1031845924
450	0.1031845912
451	0.1031845902
452	0.1031845782
453	0.1031845316
454	0.103184523
455	0.1031845154
456	0.1031844567
457	0.1031844508
458	0.1031844454
459	0.1031844433
460	0.1031738749
461	0.1031737904
462	0.103173713
463	0.1031737123
464	0.1031666087
465	0.1031666081
466	0.1031666076
467	0.1031665983
468	0.1031665977
469	0.1031665894
470	0.1031665818
471	0.1031665424
472	0.1031665076
473	0.1031665059
474	0.1031665043
475	0.1031664724
476	0.1031663505
477	0.1031128398
478	0.1031128374
479	0.1031128353
480	0.1031127984
481	0.1031127366
482	0.1031127337
483	0.1031127312
484	0.1031127017
485	0.1031126991
486	0.1029753053
487	0.102975298
488	0.1029752705
489	0.1029752312
490	0.1029724377
491	0.1029724306
492	0.1029724243
493	0.102972369
494	0.1029723655
495	0.1029723572
496	0.1029630504
497	0.1029629763
498	0.1029629485
499	0.1029629455
500	0.102962943
501	0.1029629407
502	0.1029560293
503	0.1029560172
504	0.1029560143
505	0.1029560096
506	0.1029560082
507	0.1029560059
508	0.1029559736
509	0.102955971
510	0.1029559687
511	0.102955968
512	0.1029559169
513	0.102955916
514	0.1029558789
515	0.1029558777
516	0.1029558768
517	0.1029558547
518	0.1029558244
519	0.1029509093
520	0.1029488084
521	0.1029487186
522	0.1029486954
523	0.1029486946
524	0.1028097379
525	0.1028097305
526	0.1028097218
527	0.102805584
528	0.1028055768
529	0.1028055721
530	0.102805568
531	0.1028055324
532	0.1028055291
533	0.1028055027
534	0.1028054569
535	0.1028054449
536	0.1028054343
537	0.102805425
538	0.1028054223
539	0.1028054145
540	0.1028054126
541	0.1027878107
542	0.1027877979
543	0.1027877711
544	0.1027848209
545	0.1027848195
546	0.1027848174
547	0.102784791
548	0.1027847888
549	0.1027847868
550	0.102784786
551	0.1027818934
552	0.1027818853
553	0.102781884
554	0.1027818835
555	0.1027818824
556	0.1027732114
557	0.1027732108
558	0.1027732049
559	0.1027731766
560	0.1027731509
561	0.1027731434
562	0.1027731426
563	0.1027731418
564	0.1027730331
565	0.1027681406
566	0.1027681372
567	0.1027681342
568	0.1027681339
569	0.1027681337
570	0.1027681008
571	0.1027681007
572	0.1027680971
573	0.102768094
574	0.1027680652
575	0.1027680648
576	0.1027666721
577	0.102766672
578	0.1027666653
579	0.1027666652
580	0.1027604027
581	0.1027603701
582	0.10276037
583	0.1027603698
584	0.102760338
585	0.1027603379
586	0.1027603338
587	0.1027578945
588	0.1027578852
589	0.1027578581
590	0.1027578487
591	0.1027578442
592	0.1027578441
593	0.1027578441
594	0.1027573019
595	0.1027572587
596	0.1027571761
597	0.1027571756
598	0.1027571744
599	0.1027571022
600	0.1027571012
601	0.1027571004
602	0.1027570986
603	0.1027570972
604	0.1027570619
605	0.1027570612
606	0.1027269484
607	0.1027269477
608	0.1027269464
609	0.1027150864
610	0.1027150559
611	0.1027144043
612	0.1027143318
613	0.1027119068
614	0.1025807071
615	0.1025806999
616	0.1025806935
617	0.102580685
618	0.1025806503
619	0.1025713936
620	0.1025713613
621	0.1025713372
622	0.1025713327
623	0.1025713285
624	0.1025713248
625	0.1025051992
626	0.1024715084
627	0.1024467397
628	0.1024467271
629	0.1024466959
630	0.1024466482
631	0.1024465937
632	0.102446563
633	0.1024170977
634	0.1024170698
635	0.1024170598
636	0.1024170525
637	0.1024170458
638	0.1024170398
639	0.1024170122
640	0.1024170078
641	0.1024170012
642	0.1024169976
643	0.1024169615
644	0.1024169571
645	0.1023174917
646	0.1023174828
647	0.1023174517
648	0.1023173984
649	0.1023173921
650	0.1023173632
651	0.1023173264
652	0.1023173077
653	0.1023172766
654	0.1023172716
655	0.1023151084
656	0.102315092
657	0.1023150891
658	0.1023150864
659	0.1023150841
660	0.102315082
661	0.1023150673
662	0.1023150399
663	0.1023149681
664	0.1023149662
665	0.1023149644
666	0.1023149529
667	0.102314951
668	0.102314928
669	0.102314897
670	0.1023148961
671	0.1023148684
672	0.1023148018
673	0.1023135388
674	0.102313537
675	0.1023135355
676	0.1023135253
677	0.1023135237
678	0.102313523
679	0.1023134954
680	0.1023134702
681	0.1023134046
682	0.1022163999
683	0.1022163974
684	0.102114625
685	0.1021146151
686	0.1021146084
687	0.1021146004
688	0.1021145784
689	0.1021145612
690	0.1021126404
691	0.1021126221
692	0.1021117224
693	0.1021117194
694	0.1020998027
695	0.1019832933
696	0.101982097
697	0.1019820681
698	0.101982058
699	0.1019820506
700	0.1019820258
701	0.1019820002
702	0.1019809456
703	0.1018511778
704	0.1018511631
705	0.1018511506
706	0.1018481706
707	0.1018481497
708	0.1018481403
709	0.101848132
710	0.1018481247
711	0.1018480953
712	0.1018480773
713	0.1018480717
714	0.1018480672
715	0.1017038082
716	0.1016982549
717	0.1016981854
718	0.1016981709
719	0.1016981428
720	0.1016981316
721	0.1016981219
722	0.1016954488
723	0.1016945848
724	0.1016945748
725	0.1015594916
726	0.1015594096
727	0.1015593935
728	0.1015567041
729	0.1015566729
730	0.1015566616
731	0.1015566493
732	0.1015566385
733	0.1015566199
734	0.101405938
735	0.1014058957
736	0.1014058746
737	0.1014058388
738	0.1014058071
739	0.101354432
740	0.1013544129
741	0.1013543238
742	0.1012624838
743	0.1012624586
744	0.1012624363
745	0.1012615452
746	0.1012615183
747	0.1012614945
748	0.1012614735
749	0.1012614612
750	0.1012501363
751	0.1012501213
752	0.1012501054
753	0.1012500817
754	0.1012409018
755	0.1012408943
756	0.101240864
757	0.1012408433
758	0.101240833
759	0.1012408239
760	0.1012408188
761	0.1012408128
762	0.1012408074
763	0.1012407869
764	0.1012407826
765	0.1012407245
766	0.1012394562
767	0.1011133042
768	0.1011131692
769	0.1011131516
770	0.1011131435
771	0.1011131161
772	0.1011105467
773	0.1011105318
774	0.1011105266
775	0.1011105095
776	0.1011105057
777	0.1011105021
778	0.1011103811
779	0.1011103747
780	0.1011103721
781	0.1011103612
782	0.1009931247
783	0.1008879013
784	0.1008878749
785	0.1008878577
786	0.1008862154
787	0.1008862033
788	0.1008861847
789	0.1008861729
790	0.100886155
791	0.1008851383
792	0.1008851296
793	0.100885111
794	0.1008851014
795	0.1007335491
796	0.1007335228
797	0.100733499
798	0.1007334708
799	0.1007158892
800	0.1007158486
801	0.1007158323
802	0.1007157721
803	0.1007157603
804	0.1007157499
805	0.1007157309
806	0.1007156094
807	0.1007156031
808	0.1007155975
809	0.1007155924
810	0.1007155771
811	0.1007155635
812	0.1007155516
813	0.1007155481
814	0.1007155452
815	0.1007155302
816	0.1007155274
817	0.1007155227
818	0.100715515
819	0.1007155129
820	0.1007155001
821	0.1007154957
822	0.1005805823
823	0.100580574
824	0.1005805671
825	0.1005804462
826	0.1005804162
827	0.1005804111
828	0.1005804065
829	0.1005804028
830	0.1005803893
831	0.1005803837
832	0.1005803727
833	0.10058037
834	0.1005803604
835	0.1005803569
836	0.1005803553
837	0.1005803523
838	0.1005803503
839	0.1005803491
840	0.1005803481
841	0.1004737764
842	0.1004737699
843	0.1004322677
844	0.1004322516
845	0.1004304824
846	0.1004131233
847	0.1004131138
848	0.10030308
849	0.1003030663
850	0.100257823
851	0.1001552637
852	0.1001549193
853	0.1000860257
854	0.1000848468
855	0.1000847972
856	0.0999579265
857	0.09989005809
858	0.09986600705
859	0.0998330742
860	0.0996636307
861	0.09966353339
862	0.09964527608
863	0.09952143193
864	0.09952132211
865	0.09952114793
866	0.09951610393
867	0.09943102446
868	0.09943090503
869	0.09932416633
870	0.09932223086
871	0.09932211099
872	0.09932201416
873	0.09932191306
874	0.09919418985
875	0.09919408872
876	0.09913796684
877	0.09908496359
878	0.09908486871
879	0.09908480847
880	0.09908474999
881	0.09898823953
882	0.09894663647
883	0.09894536168
884	0.09893039082
885	0.09893031289
886	0.09893026667
887	0.0989293372
888	0.09892929943
889	0.09883520016
890	0.0988290588
891	0.0987442285
892	0.0987441427
893	0.09874338133
894	0.09874334485
895	0.09874331262
896	0.09867532228
897	0.09858682926
898	0.09849117104
899	0.09849111071
900	0.0984910628
901	0.09840878026
902	0.09840787155
903	0.09840780684
904	0.09840774965
905	0.09840708257
906	0.0984070504
907	0.09840636481
908	0.09840633778
909	0.09840630227
910	0.09840624623
911	0.09840614706
912	0.09830089228
913	0.09819867515
914	0.09810548216
915	0.0981054361
916	0.09801487126
917	0.0980148188
918	0.09801256987
919	0.09801251523
920	0.09792952143
921	0.09792948215
922	0.09783073108
923	0.09775060803
924	0.09767365934
925	0.09767360309
926	0.09767354458
927	0.09758861317
928	0.09757623243
929	0.09748096557
930	0.09747956937
931	0.09747950598
932	0.09739853036
933	0.09739748318
934	0.09739031951
935	0.0973902766
936	0.09728672958
937	0.09728666835
938	0.09728216572
939	0.09728212313
940	0.09728204991
941	0.0972355697
942	0.09723397786
943	0.09723246487
944	0.09723238549
945	0.09714361898
946	0.09714358427
947	0.09704166825
948	0.0970416092
949	0.09694698333
950	0.09694659428
951	0.09694655355
952	0.09693676709
953	0.0969367332
954	0.09693669227
955	0.09684613415
956	0.09675992708
957	0.09672103632
958	0.09672098323
959	0.09663439617
960	0.09663116374
961	0.0965210004
962	0.09652092854
963	0.09652088042
964	0.09644026965
965	0.09644021047
966	0.09644014488
967	0.09644006734
968	0.09643708933
969	0.09642218451
970	0.09641760737
971	0.09637859244
972	0.09637854785
973	0.09630333167
974	0.09630327277
975	0.09630067549
976	0.0963006009
977	0.09630033825
978	0.0962125009
979	0.09614252432
980	0.09612547359
981	0.09604970652
982	0.09602253616
983	0.09602249629
984	0.09602243349
985	0.09602238622
986	0.09602211603
987	0.09602209383
988	0.09593567876
989	0.09593515066
990	0.0958571878
991	0.09585672831
992	0.09582970063
993	0.09582850955
994	0.09581709169
995	0.09581526348
996	0.0957382998
997	0.09573827154
998	0.09573579586
999	0.0957357582
